1561.775 1828.482 1389.875 1574.569 0.810
1153.137 1373.575 1088.142 1391.504 0.858
772.788 1076.524 1509.641 1794.978 0.927
1938.205 2288.508 594.499 872.855 0.870
1378.333 1658.891 654.491 847.057 0.913
988.744 1213.455 1245.938 1446.836 0.851
1685.770 1958.836 1464.115 1683.973 0.778
848.648 1186.884 1763.407 2058.917 0.906
1986.773 2359.192 1231.227 1510.737 0.807
1541.673 1808.531 2069.469 2404.289 0.987
1275.011 1563.361 1943.108 2139.036 0.881
2165.434 2394.378 2100.052 2292.990 0.896
1842.424 2181.985 866.569 1166.441 0.911
2129.352 2380.186 1399.472 1588.117 0.807
1073.603 1353.912 1310.280 1554.497 0.926
1881.091 2136.442 1093.352 1275.464 0.937
1714.216 2010.262 1311.352 1495.971 0.767
2104.921 2354.604 707.423 997.127 0.895
1810.157 2052.317 1708.136 1896.004 0.880
869.768 1178.045 1977.967 2289.772 0.831
1963.629 2298.739 1822.833 2029.132 0.910
1620.922 1844.599 1239.532 1602.732 0.970
1364.766 1597.030 1548.261 1910.553 0.958
1619.790 1924.011 1473.476 1688.327 0.919
1044.410 1333.500 910.034 1229.447 0.884
1144.480 1326.038 911.641 1217.021 0.872
976.592 1175.158 1125.777 1362.037 0.826
465.675 814.206 1014.904 1392.115 0.849
1814.265 2167.802 1702.291 1925.280 0.922
1009.327 1348.612 1768.276 1954.034 0.955
439.360 629.313 1324.195 1516.836 0.812
1971.916 2285.110 1385.185 1604.299 0.826
1409.992 1712.551 958.535 1328.775 0.942
1500.855 1765.437 1527.401 1795.824 0.990
1493.684 1828.710 2074.457 2409.387 0.879
1822.341 2068.225 1951.072 2226.873 0.956
193.623 462.046 334.413 657.071 0.886
1713.913 2081.512 1121.146 1321.082 0.877
2017.848 2382.536 1765.309 2058.872 0.837
985.405 1265.157 143.856 424.582 0.977
